"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035652/2018","Partille cup 2018","Mladí házenkáři mají možnost se porovnat s těmi nejlepšími v Evropě. Největší mládežnická akce na světě, které se účastní více než 1200 klubů z celého světa a 15000 sportovců, je každoročně pořádána ve švédském Gothenburgu.  Náš oddíl se ho letos zúčastní již potřetí (2009, 2013, 2018) v pěti věkových kategoriích ve věku od 12 do 18 let . Již jednou nám byl hejtmanem středočeského kraje dán příspěvek a my doufáme, že letos se to povede opět a pomůžete nám s financováním této akce. Celkový rozpočet je 630 tisíc. Od 50 rodičů vybíráme příspěvek 7.500,- (tj.375.tis), který pokryje pobyt dětí (ubytování, plnou penzi), ostatní hradí náš oddíl (doprava, trenéry, vklad do turnaje). Rozdíl ve výši 255.tisíc chceme pokrýt z různých zdrojů. 50.tis. je příspěvek Města Úvaly, 100. tis. jsou sponzorské dary od sponzorů našeho klubu a 55.tis. je z vlastních zdrojů oddílu. Chybějících 50.tis. je naše žádost u Vás. Věříme, že naši akci podpoříte. Můžeme nabídnou reklamu na webových stránkách a reklamních letácích, a posléze na všech materiálech týkajících se této akce, včetně závěrečné zprávy pro místní a regionální tisk. Jménem všech členů našeho oddílu Vám předem děkuji.","neschváleno RK","630000","50000","","7.93650794"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035654/2018","7. Majáles Gymnázia Hostivice","Kulturní akce Gymnázia Hostivice, kde budou šerpováni noví studenti, školy+kulturní program studentů školy, který proběhne na velkém pódiu náměstí v Hostivici. Tuto kulturní akci pořádá náš spolek. Tato akce slouží k prezentaci školy a podporuje nadané studenty školy.","neschváleno RK","23000","19780","","86"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035664/2018","Výměnný pobyt žáků z partnerských obcí Krakovany na Slovensku a gminy Popielów v Polsku","Jedná se o akci zaměřenou na výměnný pobyt žáků z partnerských obcí Krakovany na Slovensku a gminy Popielów v Polsku. S oběmi partnerskými obcemi jsou navázány dlouholeté přátelské vztahy nejenom na úrovni obcí, ale i na úrovni základních škol. Jedná se o výměnný pobyt žáků ze čtvrtých a pátých ročníků základních škol. V minulých letech se žáci z načí školy účastnili výměnného pobytu v Krakovanech na Slovensku (Trnavský kraj) a v gmině Popielów (Opolské vojvodství). V současnosti je záměrem pozvat žáky z obou partnerských obcí do Krakovan. Jedná se o pozvánku pro 15 dětí ze Slovenska a 15 dětí z Polska. Obě skupiny budou doprovázeny dvěma učiteli. Žáci se vždy na výměnné pobyty velmi těší a jedná se o ohromný zážitek. V neposlední řadě tyto výměnné pobyty dětí napomáhají vzájemnému poznávání a prohlubují u žáků pocit evropské sounáležitosti. Jako povinná příloha je doložena finanční kalkulace. V ceně jsou zahrnuty částky za ubytování, stravování, ceny za vstupy z důvodu navštěvování exkurzí a cena za dopravu. Cena za dopravu je tvořena dopravou v průběhu pobytu. Dopravu ze Slovenska a Polska do Krakovan hradí partneři. ","neschváleno RK","76290","72475","","94.99934461"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035669/2018","Letní soustředění přípravek a žáků SK Vinařice","Příprava a realizace letního soustřední mládeže SK Vinařice. Cílem soustředění je zajistit u mládeže pohybové dovednosti, nácvyk herních situací a podpora ve sportovním rozvoji - vícestranná. Nedílnou součástí je i utužení kolektivu jelikož se jedná o ročníky 2011-2003. Soustředění bude proloženo sérií pohybových cvičení, her, výletů a odpočinkových aktivit. , Finanční rozvaha: 1. ubytování a stravování fotbalistů: cca 35 osob ( 400,- czk osoba/4x noc). Celkem za ubytování + stravování 56 000,- czk. 2. Doprava: (vlaková) celkem 4000,- czk. 3. Ostatní (vstupné na kulturní akce, pronájem sportovních prostor, nákup cen za sportovní soutěže atd.) 6 000,- czk","neschváleno RK","66000","20000","","30.3030303"
"Pořízení vybavení pro sociální, kulturní, sportovní a vzdělávací aktivity","2018","FHT/PHT/035673/2018","Středisko Úsvit - pořízení dataprojektoru a plátna","Předmětem projektu je nákup dataprojektoru a plátna pro Junák – svaz skautů a Skautek ČR, středisko Úsvit Votice. , , Středisko Votice dlouhodobě pracuje s dětmi a mládeží ve Voticích a Vrchotových Janovicích a v rámci své činnosti úspěšně reprezentuje i Středočeský kraj., V roce 2017 získaly děti ze střediska v rámci prestižního Svojsíkova závodu určeného pro skauty a skautky 1. místo v rámci Středočeského kraje (družina WONK – smíšené družstvo chlapců a dívek) a v rámci celostátních závodů se umístily na 3. místě. V letošním roce se družstva chlapců (1. místo) a dívek (2. místo) umístily na postupových místech v rámci okresních závodů Vlčat a Světlušek a budou se účastnit krajských závodů Středočeského kraje., , Předmět projektu – dataprojektor a plátno bude využíváno při každotýdenní činnosti s dětmi (schůzky, tábory, víkendové akce, prezentace činnosti veřejnosti, besídky, apod.) v průběhu celého roku a rozšíří možnosti činností s dětmi a mládeží v rámci již probíhajících aktivit. V rámci projektu bude proveden cenový marketing – s cílem optimalizace ceny i parametrů pořizovaného zařízení. Projekt bude řádně vyúčtován a poskytovateli dotace bude zasláno vyúčtování a zpráva o průběhu projektu. Cílem projektu je podpořit rozvoj osobnosti mladých lidí v souladu s principy a ideály celého skautského hnutí., , V roce 2018 je ve středisku registrováno 66 dětí ve věku do 18 let. Aktivity spolku se zaměřují i na širokou veřejnost v rámci spolupráce s ostatními subjekty ve městě a regionu (např. podílení se na pořádání každoročního dětského dne - účast více než 200 dětí) apod., , Podpora Středočeského kraje bude prezentována současně s činností střediska Úsvit, bude vydána tisková zpráva v regionálním tisku, na internetových stránkách střediska a ve vývěsce v centru města.","neschváleno RK","18000","15000","","83.33333333"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035674/2018","Dětský tábor Pevnost Ostrý","Předmětem naší žádosti je uspořádání pátého ročníku letního dětského pobytového tábora Pevnost Ostrý. V letošním roce se tábor bude konat ve Středočeském kraji ve Slunečném údolí mezi městy Zruč nad Sázavou a Ledeč nad Sázavou v termínu od 12. do 25. srpna 2018. , Tábora se každoročně zúčastňují děti z celého Středočeského kraje, v letošním roce očekáváme účast kolem 45 dětí. , , Program tábora je koncipovaný tak, aby každý den byl plný zábavy, dobrodružství a adrenalinu. Pro děti je připraven celodenní program v podobě her v lese, soutěží jednotlivců i týmů, večerní zpívání s kytarou u táboráku a spousta dalších táborových aktivit. Po úspěšném loňském ročníku celotáborové hry s názvem „Boj o přežití“ inspirovaná televizní show Robinsonův ostrov, budeme v této hře v letošním roce pokračovat. Kromě táborových aktivit pro děti připravujeme další zvláštní aktivity jako např. možnost vyzkoušet si chemické pokusy, naučit se tvořit mega bubliny. Veškeré aktivity jsou přizpůsobeny všem věkovým kategoriím tak, aby mělo šanci uspět každé dítě. , , Naším cílem je začlenit všechny děti do kolektivu, aby nikdo nebyl sám, ale byl naopak přijímaný a našel nové kamarády. Snažíme se rozvíjet schopnosti a dovednosti dětí, učit je fair play a týmové spolupráci. Cílem našeho tábora je aktivní odpočinek dětí a načerpání nových sil pro následující školní rok. V letošním roce bychom rádi připravili pro děti zajímavé a neobvyklé překvapení. , , V rámci naší žádosti bychom rádi požádali o finanční příspěvek na program v adrenalin parku, nákup triček a čepic pro děti a částečnou úhradu nákladů za dopravu na výlety v průběhu tábora. Rádi bychom pro děti připravili něco navíc oproti minulým ročníkům bez nutnosti navýšení ceny za tábor. Naší snahou je připravit tábor dostupný pro všechny děti bez rozdílů. Jsme parta kamarádů, která každý rok připravuje letní dětský tábor pro radost, ne pro zisk. Naší jedinou odměnou je, že sami máme tábor zdarma. , , Propagaci Středočeského kraje zajistíme pomocí umístěním loga Středočeského kraje v oficiálních propozicích pro rodiče, které obdrží všechny rodiče před začátkem tábora. Dále uveřejněním loga na internetových stránkách tábora (http://detsky-tabor-pevnost-ostry.cz/).","neschváleno RK","27000","20000","","74.07407407"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035683/2018","Mořinka FEST","10. ročník Mořinka FEST - festival amatérských rockových kapel, který se koná na návsi před Hostincem u Barchánků. Vystoupí: Baba Jaga, Black Bull, Fotr a kolektiv, H.S.M., Labe a Val-Muquabala. V půběhu odpoledne navštíví festival Kola a Motory z Club Kina Černošice. Jubilejní ročník bude zpestřen ohnivou show v podání skupiny Pa-li-Tchi. Na závěr se účastníci možná dočkají překvapení.","neschváleno RK","44000","40000","","90.90909091"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035695/2018","Podpora činnosti futsalového oddílu Hrasl Slaný","Hrasl Slaný je futsalový oddíl, byl založen v roce 1989 a má v současné době 18 aktivních členů. Již sedm let nastupujeme ve třetí nejvyšší futsalové soutěži, tj. Divize A. Pronájem sportovní haly, cestování na zápasy (týmy v této soutěži jsou rozprostřeny téměř po celých Čechách), výplata rozhodčích a nákup potřebného sportovního vybavení číní každoroční účast v této soutěži finančně náročnou - předpokládané náklady na další sezónu jsou 70 000 Kč. Případnou dotaci bychom rádi použili na pronájmem haly, nákup sportovního vybavení a výplaty rozhodčích a delegátů. Pronájem haly: 15 000 Kč (celkové náklady 16 000 Kč) Sportovní vybavení: 5 000 Kč (celkové náklady 5 500 Kč) Rozhodčí a delegáti: 10 000 Kč (celkové náklady 24 000 Kč)","neschváleno RK","45500","30000","","65.93406593"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035704/2018","Podpora mládeže a mladých reprezentantů","Sportovní klub SK Boxing Mělník byl založen v roce 2011. , Od té doby se věnuje práci s mládeží a snaží se minimalizovat negativní dopady nevyužitého volného času u mladistvých. Do této doby se nám podařilo vychovat jednoho mistra ČR v kategorii kadetů do 16 let, vicemistra ČR v kategorii školní mládež do 14 let a bronzového medailistu v kategorii školní mládež do 14 let, boxeři dále získali bronzovou a stříbrnou medaili na juniorském šampionátu do 18 let. I letošní sezóna je velice úspěšná, podařilo se nám získat stříbrnou ve váze do 70 kg a bronzovou medaili ve váze do 66 kg  na Mistrovství ČR v Českých Budějovicích v kategorii kadetů do 16 let., Trenéři svým působením děti vedou ke kázni a zodpovědnosti. V rámci projektu by s podporou Středočeského kraje mělo dojít k minimalizaci nákladů, které jsou kladeny na členy klubu nebo jejich rodiče., Příspěvky, které se od členů vybírají jsou velmi nízké a nelze z nich pokrýt náklady na provoz klubu. V rámci projektu plánujeme doplnit tréninkové a zápasové vybavení., Účel, cíle a přínosy akce/projektu, zdůvodnění žádosti, cílové skupiny:, Hlavním cílem projektu je zpřístupnění tréninků a umožnění členství co nejširšímu okruhu dětí a mladistvých, v současné době má klub 30 členů a věříme, že projekt pomůže naší členskou základnu ještě rozšířit. Dalším cílem je zkvalitnit tréninkové jednotky, doplněním vybavení., Cílovou skupinou projektu jsou děti a mladiství z Mělníka a širokého okolí, kterým klub nabízí, aktivní alternativu trávení volného času., Realizace projektu by měla pomoci zkvalitnit tréninky a umožnit účast na zápasech většímu počtu členů,tím by mělo dojít i ke zvýšení motivace docházet na tréninky a eliminovat tak negativní vlivy ve využívání volného času dětí a mladistvých., ","neschváleno RK","158529","150000","","94.61991181"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035709/2018","Běhej lesy Karlštejn","Seriál Běhej lesy nabízí 8 unikátních závodů na nejkrásnějších místech v Čechách a na Moravě. V letošním roce proběhne již 4 ročník. Rádi bychom Vás požádali o podporu při sportovní akci Běhej lesy Karlštejn, která je součástí tohoto seriálu a v posledních 2 letech se vždy účastnilo více než 2 300 závodníků (včetně dětí) nejen ze Středočeského kraje. Závod se stal velice oblíbeným a vyhledávaným podnikem v běžeckém kalednáři a v roce 2017 zvítězil v nabité konkurenci a stal se nejoblíbenějším závodem 1/2 roku. Všem běžcům a jejich doprovodu chceme tak jako v předchozích 3 letech prostřednictvím našeho závodu, představit lokalitu Karlštejna a okolí jako prostředí vhodné pro sport, turistiku a další volnočasové aktivity v krásné přírodě. Závodníkům chceme vždy nabídnout co nejlepší servis, aby si odnesli ze závodu pozitivní zážitek a znovu se vraceli do místa konání akce. Stejně tak i pořadatelé vracejí zázemí a trasu závodu do původního stavu, aby byla zachována v nezměněné podobě. Dotaci bychom použili především na zajištění pořadatelské služby, zdravotnické služby, služeb časomíry, technického vybavení ve startovišti, na startovní čísla, na medaile, trofeje pro vítěze, zajištění kyvadlové dopravy, pódia, ozvučení, moderátora a fotografů atd.","neschváleno RK","1029000","150000","","14.57725948"
